timestamp,temperature,humidity,gas,yolo_fire_conf,yolo_smoke_conf,alert_state
2026-06-11T15:09:49.630,0.0,0.0,0,,,2
2026-06-11T15:09:49.733,0.0,0.0,0,,,2
2026-06-11T15:09:49.839,0.0,0.0,0,,,2
2026-06-11T15:09:49.941,0.0,0.0,0,,,2
2026-06-11T15:09:50.047,0.0,0.0,0,,,2
2026-06-11T15:09:50.157,0.0,0.0,0,,,2
2026-06-11T15:09:50.261,0.0,0.0,0,,,2
2026-06-11T15:09:50.367,0.0,0.0,0,,,2
2026-06-11T15:09:50.471,0.0,0.0,0,,,2
2026-06-11T15:09:50.576,0.0,0.0,0,,,2
2026-06-11T15:09:50.680,0.0,0.0,0,,,2
2026-06-11T15:09:50.786,0.0,0.0,0,,,2
2026-06-11T15:09:50.889,0.0,0.0,0,,,2
2026-06-11T15:09:50.996,0.0,0.0,0,,,2
2026-06-11T15:09:51.101,0.0,0.0,0,,,2
2026-06-11T15:09:51.206,0.0,0.0,0,,,2
2026-06-11T15:09:51.311,0.0,0.0,0,,,2
2026-06-11T15:09:51.416,0.0,0.0,0,,,2
2026-06-11T15:09:51.520,0.0,0.0,0,,,2
2026-06-11T15:09:51.625,0.0,0.0,0,,,2
2026-06-11T15:09:51.729,0.0,0.0,0,,,2
2026-06-11T15:09:51.833,0.0,0.0,0,,,2
2026-06-11T15:09:51.937,0.0,0.0,0,,,2
2026-06-11T15:09:52.039,0.0,0.0,0,,,2
2026-06-11T15:09:52.142,0.0,0.0,0,,,2
2026-06-11T15:09:52.245,0.0,0.0,0,,,2
2026-06-11T15:09:52.370,0.0,0.0,0,,,2
2026-06-11T15:09:52.474,0.0,0.0,0,,,2
2026-06-11T15:09:52.577,0.0,0.0,0,,,2
2026-06-11T15:09:52.680,0.0,0.0,0,,,2
2026-06-11T15:09:52.785,0.0,0.0,0,,,2
2026-06-11T15:09:52.889,0.0,0.0,0,,,2
2026-06-11T15:09:53.012,0.0,0.0,0,,,2
2026-06-11T15:09:53.117,0.0,0.0,0,,,2
2026-06-11T15:09:53.221,0.0,0.0,0,,,2
2026-06-11T15:09:53.325,0.0,0.0,0,,,2
2026-06-11T15:09:53.430,0.0,0.0,0,,,2
2026-06-11T15:09:53.535,0.0,0.0,0,,,2
2026-06-11T15:09:53.641,0.0,0.0,0,,,2
2026-06-11T15:09:53.747,0.0,0.0,0,,,2
2026-06-11T15:09:53.850,0.0,0.0,0,,,2
2026-06-11T15:09:53.956,0.0,0.0,0,,,2
2026-06-11T15:09:54.061,0.0,0.0,0,,,2
2026-06-11T15:09:54.164,0.0,0.0,0,,,2
2026-06-11T15:09:54.269,0.0,0.0,0,,,2
2026-06-11T15:09:54.374,0.0,0.0,0,,,2
2026-06-11T15:09:54.479,0.0,0.0,0,,,2
2026-06-11T15:09:54.586,0.0,0.0,0,,,2
2026-06-11T15:09:54.691,0.0,0.0,0,,,2
2026-06-11T15:09:54.796,0.0,0.0,0,,,2
2026-06-11T15:09:54.901,0.0,0.0,0,,,2
2026-06-11T15:09:55.004,0.0,0.0,0,,,2
2026-06-11T15:09:55.118,0.0,0.0,0,,,2
2026-06-11T15:09:55.223,0.0,0.0,0,,,2
2026-06-11T15:09:55.328,0.0,0.0,0,,,2
2026-06-11T15:09:55.433,0.0,0.0,0,,,2
2026-06-11T15:09:55.540,0.0,0.0,0,,,2
2026-06-11T15:09:55.645,0.0,0.0,0,,,2
2026-06-11T15:09:55.749,0.0,0.0,0,,,2
2026-06-11T15:09:55.853,0.0,0.0,0,,,2
2026-06-11T15:09:55.957,0.0,0.0,0,,,2
2026-06-11T15:09:56.061,0.0,0.0,0,,,2
2026-06-11T15:09:56.164,0.0,0.0,0,,,2
2026-06-11T15:09:56.268,0.0,0.0,0,,,2
2026-06-11T15:09:56.371,0.0,0.0,0,,,2
2026-06-11T15:09:56.477,0.0,0.0,0,,,2
2026-06-11T15:09:56.581,0.0,0.0,0,,,2
2026-06-11T15:09:56.694,0.0,0.0,0,,,2
2026-06-11T15:09:56.797,0.0,0.0,0,,,2
2026-06-11T15:09:56.904,0.0,0.0,0,,,2
2026-06-11T15:09:57.011,0.0,0.0,0,,,2
2026-06-11T15:09:57.115,0.0,0.0,0,,,2
2026-06-11T15:09:57.219,0.0,0.0,0,,,2
2026-06-11T15:09:57.323,0.0,0.0,0,,,2
2026-06-11T15:09:57.430,0.0,0.0,0,,,2
2026-06-11T15:09:57.533,0.0,0.0,0,,,2
